"Step","Name: ppo_me_neg30p10 - Training/objective_proportion","Name: ppo_me_neg30p10 - Training/objective_proportion__MIN","Name: ppo_me_neg30p10 - Training/objective_proportion__MAX","Name: ppo_me_neg30p100 - Training/objective_proportion","Name: ppo_me_neg30p100 - Training/objective_proportion__MIN","Name: ppo_me_neg30p100 - Training/objective_proportion__MAX","Name: ppo_me30 - Training/objective_proportion","Name: ppo_me30 - Training/objective_proportion__MIN","Name: ppo_me30 - Training/objective_proportion__MAX"
"97","0.04421768707482993","0.03061224489795918","0.06122448979591837","0.07142857142857141","0.07142857142857141","0.07142857142857144","0.02380952380952382","0.010204081632653064","0.040816326530612256"
"98","0.04377104377104377","0.0303030303030303","0.060606060606060615","0.0707070707070707","0.07070707070707069","0.07070707070707072","0.026936026936026942","0.010101010101010104","0.040404040404040414"
"99","0.043333333333333335","0.03","0.06000000000000001","0.06999999999999999","0.06999999999999998","0.07","0.026666666666666672","0.010000000000000002","0.04000000000000001"
"100","0.0429042904290429","0.0297029702970297","0.05940594059405942","0.0693069306930693","0.06930693069306929","0.06930693069306931","0.026402640264026406","0.009900990099009903","0.03960396039603961"
"101","0.04248366013071896","0.029411764705882353","0.05882352941176472","0.06862745098039215","0.06862745098039214","0.06862745098039216","0.026143790849673207","0.009803921568627453","0.03921568627450981"
"102","0.042071197411003236","0.02912621359223301","0.058252427184466035","0.06796116504854367","0.06796116504854367","0.0679611650485437","0.02588996763754046","0.00970873786407767","0.03883495145631068"
"103","0.04166666666666668","0.028846153846153848","0.05769230769230771","0.0673076923076923","0.06730769230769229","0.06730769230769232","0.025641025641025644","0.009615384615384616","0.038461538461538464"
"104","0.04126984126984128","0.028571428571428574","0.05714285714285716","0.06984126984126983","0.06666666666666665","0.0761904761904762","0.028571428571428577","0.009523809523809525","0.04761904761904762"
"105","0.0408805031446541","0.028301886792452834","0.05660377358490568","0.07232704402515723","0.06603773584905659","0.0849056603773585","0.028301886792452834","0.009433962264150945","0.04716981132075472"
"106","0.04361370716510904","0.03738317757009346","0.05607476635514021","0.07165109034267912","0.06542056074766353","0.08411214953271029","0.028037383177570097","0.009345794392523366","0.04672897196261683"
